AAE	23.068189	72.628931	14	G451	B	APANO	21.584000	72.982689	07500	N	SASRO	24.071278	70.999611	07500	Y
AAE	23.068189	72.628931	14	G472	B	AMVIG	22.853556	73.375833	07500	Y	VASLA	23.521317	70.999614	07500	N
AAE	23.068189	72.628931	14	J50	B					N	MIBOG	25.153503	72.900567	11000	Y
AAE	23.068189	72.628931	14	L639	B	AGRIX	23.156667	74.340833	29000	Y	LAXOM	22.808333	70.833333	29000	Y
AAE	23.068189	72.628931	14	N893	B	VASLA	23.521317	70.999614	28000	N					N
AAE	23.068189	72.628931	14	N895	B	SASRO	24.071278	70.999611	26000	Y	AMVIG	22.853556	73.375833	26000	Y
AAE	23.068189	72.628931	14	Q3	B					N	UUD	24.614722	73.893806	29000	Y
AAE	23.068189	72.628931	14	Q4	B	ORAPI	23.571667	73.389722	29000	N					N
AAE	23.068189	72.628931	14	R458	B					N	BVR	21.750761	72.189564	07500	Y
AAE	23.068189	72.628931	14	W135	B					N	LAXOM	22.808333	70.833333	07500	Y
AAE	23.068189	72.628931	14	W162	B	BUDVI	22.469889	72.203111	11000	N					N
AAE	23.068189	72.628931	14	W40	B	BODAR	22.605303	74.221406	07500	Y					N
AAE	23.068189	72.628931	14	W58	B	UGISO	24.358353	73.685814	07500	Y					N
AAE	23.068189	72.628931	14	W62	B	HSR	22.368875	71.031208	07500	Y					N
AAE	23.068189	72.628931	14	W63	B	KS	21.318092	70.261636	07500	Y					N
AAE	23.068189	72.628931	14	W97	B	QQZ	22.332717	73.225803	07500	Y					N
AAE	23.068189	72.628931	14	Z8	B					N	BEPDA	24.024722	72.416667	29000	Y
AAGIN	40.583114	-88.313911	14	T325	L	SLONI	40.185108	-87.921078	0	Y	SMARS	41.127272	-88.860617	0	Y
AAL	57.103933	9.992808	14	L621	B	LAGUM	57.455556	9.268333	03500	Y	LAPMA	56.625956	11.347542	03500	Y
AAL	57.103933	9.992808	14	M725	B					N	ADSEN	56.144689	10.883958	03500	Y
AAL	57.103933	9.992808	14	N607	B	LASRO	56.073056	8.813889	09500	Y	KUVUS	57.337936	11.000000	09500	Y
AAL	57.103933	9.992808	14	N866	B	DETNA	57.587611	11.069056	03500	Y	KEMEG	56.720833	8.872500	03500	Y
AAL	57.103933	9.992808	14	P615	B	ARTOR	58.334419	10.148983	03500	Y	RADIS	56.541667	9.995000	03500	Y
AAL	57.103933	9.992808	14	P621	B	NERDO	57.887942	9.228278	03500	Y					N
AAL	57.103933	9.992808	14	P622	B	RETKA	57.991522	9.438617	09500	Y	INTET	56.226303	9.411414	09500	Y
AAL	57.103933	9.992808	14	P990	B	ASLID	56.346358	11.343894	03500	N	KOVIK	57.559700	8.574142	03500	Y
AAL	57.103933	9.992808	14	T138	H					N	TINAC	56.250822	5.000000	24500	Y
AAL	57.103933	9.992808	14	T551	B	BINRO	58.160619	9.786192	03500	N	TESPI	55.898333	10.531111	03500	Y
AAL	57.103933	9.992808	14	TR10	H	SKR	55.228939	9.214058	25000	Y	KOTAK	58.020200	9.497197	25000	Y
AAL	57.103933	9.992808	14	Z716	H					N	VAXIT	56.537500	5.000000	24500	Y
AALIX	48.504414	-121.756347	14	T332	L	CRNEL	48.472069	-122.222400	0	Y	BAALE	48.445161	-121.415667	0	Y
AALYS	44.673181	-69.069661	14	T295	L	RAZZR	44.221253	-69.586736	0	Y	BGR	44.841794	-68.873967	0	Y
AAMYY	51.399931	171.553728	14	R451	H	POWAL	50.174575	165.123283	18000	Y	WALLT	51.781306	174.882500	18000	Y
AANTS	38.718656	-78.462647	14	V143	L	KERRE	38.641939	-78.532383	06000	Y	HOAGE	39.128600	-78.086781	06000	Y
AANTS	38.718656	-78.462647	14	V286	L	TEAKK	38.789083	-79.028650	06900	Y	CSN	38.641203	-77.865500	06900	Y
AANTS	38.718656	-78.462647	14	V3	L	KERRE	38.641939	-78.532383	06000	Y	HOAGE	39.128600	-78.086781	06000	Y
AANTS	38.718656	-78.462647	14	V39	L	KERRE	38.641939	-78.532383	06000	Y	HOAGE	39.128600	-78.086781	06000	Y
AAR	31.727947	74.785958	14	A456	B	RABAN	31.592222	74.580833	10500	Y					N
AAR	31.727947	74.785958	14	W21	B	KIKED	31.880278	75.512500	08500	Y	ASARI	30.804250	75.158722	08500	Y
AAR	31.727947	74.785958	14	W25	B	BOLUX	30.787306	75.074000	12500	Y					N
AAR	31.727947	74.785958	14	W36	B	ANPOL	31.268333	75.310278	07500	Y					N
AAR	30.908033	41.142178	14	B411	B	KAVID	30.597778	40.196389	11500	Y	MURIB	31.210278	41.843333	11500	Y
AAR	30.908033	41.142178	14	L768	B	RAF	29.620194	43.497972	16000	N	OVANO	31.800278	39.164167	16000	Y
AAR	30.908033	41.142178	14	V13	B	GADLI	30.386667	40.639167	11500	Y					N
AAR	30.908033	41.142178	14	V16	B	DELNI	30.080000	41.274167	12000	Y					N
AAR	30.908033	41.142178	14	V45	B	BONIS	31.432778	39.553611	12500	Y	RAGED	30.088333	42.196944	12500	Y
AARES	20.998611	-157.095000	14	T340	L	HLONO	21.038467	-157.248292	02200	Y	CHAIN	20.972994	-156.925761	0	Y
AARNN	36.378775	-78.017792	14	Q113	H	MARCL	35.731781	-78.429603	0	Y	RIDDN	36.789219	-77.763969	0	Y
AARNN	36.378775	-78.017792	14	Q129	H	YERBA	35.316897	-77.929061	0	Y	THEOO	37.592967	-78.122286	0	Y
AAT	23.890411	91.238647	14	A201	B	TEBUL	23.607500	92.626389	27000	Y	BOGEP	24.068889	90.413889	26500	Y
AAT	23.890411	91.238647	14	B593	B	CML	23.433333	91.190250	07500	Y	IKIPI	24.556039	91.340192	07500	Y
AAT	23.890411	91.238647	14	R472	B	DOXAG	23.973536	91.287706	07500	N					N
AAT	23.890411	91.238647	14	W54	B					N	MEPAR	24.000694	91.863528	11000	Y
AAT	23.890411	91.238647	14	W55	B					N	MEPAR	24.000694	91.863528	11000	Y
AAT	23.890411	91.238647	14	W84	B	MEPAR	24.000694	91.863528	11000	Y					N
AAU	19.860881	75.406058	14	G450	B	DUBOX	20.370778	76.832194	08000	Y	OPAKA	19.605833	74.549444	08000	Y
AAU	19.860881	75.406058	14	J19	B	PUNOR	20.660750	74.782528	21000	Y					N
AAU	19.860881	75.406058	14	J5	B					N	UBSAB	19.232778	75.130278	26000	Y
AAU	19.860881	75.406058	14	J70	B	OJR	20.124200	73.930200	11000	Y					N
AAU	19.860881	75.406058	14	L301	B	ASOGA	19.542528	76.832194	26000	Y	AKTIV	20.248139	73.258194	26000	Y
AAU	19.860881	75.406058	14	W146	B	OSBEM	20.916667	76.000000	20000	N					N
AAU	19.860881	75.406058	14	W152	B	OJR	20.124200	73.930200	10000	Y					N
AAU	19.860881	75.406058	14	W75	B	MELAX	19.498611	75.632500	11000	Y	NONEN	20.295867	75.495122	07500	Y
AAU	19.860881	75.406058	14	W79	B					N	NONEN	20.295867	75.495122	11000	Y
AAYDE	43.242342	-90.849275	14	T348	L	BEENZ	43.251169	-90.998969	0	Y	JOOHR	43.215561	-90.402089	0	Y
ABA	12.505681	-69.943097	14	A567	L	MOBAM	12.915806	-69.955667	03000	Y	NOREX	12.311417	-70.062028	03000	Y
