UVLIN	-52.833889	 -66.905833	15
OREPU	-52.805928	 -71.133008	15
MUBES	-52.802500	 -68.479167	15
PATRI	-52.788947	 -71.044369	15
ERUPO	-52.787778	 -67.072222	15
GUDUX	-52.747222	 -67.268056	15
CERRO	-52.738056	 -69.369167	15
ATOKI	-52.730000	 -62.230833	15
GEKAM	-52.724672	 -71.367394	15
SASTA	-52.708333	 -67.763056	15
R309Y	-52.678133	 -71.281622	15
PORVA	-52.643506	 -71.220778	15
R332Y	-52.602931	 -71.038533	15
USEKI	-52.594722	 -68.753056	15
BAPOS	-52.303056	 -68.936389	15
MONTE	-52.240000	 -70.963333	15
ILTIP	-52.221667	 -68.900556	15
SIRUN	-52.221111	 -72.109167	15
NEDAX	-52.082222	 -72.023333	15
WG823	-52.068983	 -69.009003	15
PALIX	-52.066667	 -69.800000	15
NT267	-52.048136	 -72.242297	15
R232T	-52.010347	 -58.903111	15
MUNER	-52.000000	 -71.310000	15
EGOSA	-52.000000	 -70.995000	15
52W20	-52.000000	-120.000000	15
52W31	-52.000000	-131.000000	15
52W10	-52.000000	-110.000000	15
52W40	-52.000000	-140.000000	15
YP432	-51.962467	 -58.126278	15
MPA26	-51.938919	 -57.787842	15
R137I	-51.929147	 -58.284450	15
YP431	-51.903550	 -57.961453	15
MPA19	-51.895492	 -57.970414	15
PNT11	-51.893633	 -72.300539	15
R247J	-51.889200	 -58.704308	15
ALPHA	-51.887208	 -58.066842	15
R114I	-51.885442	 -58.236253	15
62R05	-51.883164	 -58.586753	15
YP430	-51.882083	 -58.091411	15
NT273	-51.880981	 -72.598408	15
R101M	-51.878864	 -58.118917	15
MUDAS	-51.875008	 -72.374403	15
TEKIS	-51.871381	 -72.207914	15
NT999	-51.867681	 -72.487119	15
IMP97	-51.866328	 -58.186031	15
DIGIS	-51.861944	 -62.467778	15
10MPA	-51.861508	 -58.718769	15
MPA09	-51.859731	 -58.222042	15
YP428	-51.856133	 -58.247200	15
MPA20	-51.853028	 -58.992300	15
62R28	-51.850839	 -58.278006	15
R261M	-51.850828	 -58.808964	15
MPA22	-51.848986	 -57.872606	15
